country_code,subdivision_name,code,country_name,combined_name,location_normalized,latitude,longitude,place_id
AL,Durres,AL-02,Albania,"Durres, Albania",Durrës County,41.3245904,19.4564686,ChIJx7y7X3zZTxMR7oHN5up383c
AL,Elbasan,AL-03,Albania,"Elbasan, Albania",Elbasan County,41.11023,20.0866554,ChIJFdN4ggBDUBMRCm5pj3wyQ0I
AL,Fier,AL-04,Albania,"Fier, Albania",Fier County,40.727504,19.5627596,ChIJ8_GYv85SRRMRvOrtAxWijGE
AL,Gjirokaster,AL-05,Albania,"Gjirokaster, Albania",Gjirokastër County,40.0672874,20.1045229,ChIJTS8m1zEDWxMR_HXyjKPeWlY
AL,Korce,AL-06,Albania,"Korce, Albania",Korçë County,40.6140785,20.7778071,ChIJ-4O5ZBIKWhMRRLnDZ0kPb9Q
AL,Kukes,AL-07,Albania,"Kukes, Albania",Kukës County,42.0807464,20.4142923,ChIJa0a-QfzRUxMR6XqoKZD71Jo
AL,Lezhe,AL-08,Albania,"Lezhe, Albania",Lezhë County,41.786073,19.6460758,ChIJC80fu7fgURMRX0v8ZPRTs-0
AL,Shkoder,AL-10,Albania,"Shkoder, Albania",Shkodër County,42.0692985,19.5032559,ChIJLyGY-VsAThMRToDRZL0_DXw
AL,Tirane,AL-11,Albania,"Tirane, Albania",Tirana County,41.3275459,19.8186982,ChIJ28X6cAQxUBMRIDdlEK-SAAQ
AL,Vlore,AL-12,Albania,"Vlore, Albania",Vlorë County,40.4660668,19.491356,ChIJlRjM6PEzRRMRhg4-8ZoJMQ0
AM,Aragacotn,AM-AG,Armenia,"Aragacotn, Armenia",Aragatsotn Province,40.2591212,44.1793418,ChIJu5vMvK-NakARdSaOkL-i8s8
AM,Ararat,AM-AR,Armenia,"Ararat, Armenia",Ararat Province,40.0577703,44.3860136,ChIJnxBLQ-jGakARorvO1500yDA
AM,Armavir,AM-AV,Armenia,"Armavir, Armenia",Armavir Province,40.1555525,44.0388482,ChIJywSKztfvakARa1TxQigHnXw
AM,Erevan,AM-ER,Armenia,"Erevan, Armenia",Yerevan,40.1872023,44.515209,ChIJW4v8uNqiakARalLah655FD0
AM,Gegark'unik',AM-GR,Armenia,"Gegark'unik', Armenia",Gegharkunik Province,40.3526426,45.1260414,ChIJm9Pc3qqOQEARgXL97efpEEc
AM,Kotayk',AM-KT,Armenia,"Kotayk', Armenia",Kotayk Province,40.2791429,44.6600779,ChIJU2bMV0-gakARkOppPQdINQY
AM,Lori,AM-LO,Armenia,"Lori, Armenia",Lori Province,40.9698452,44.4900138,ChIJX-qE8sHRQUARP4B0IPemuXc
AM,Sirak,AM-SH,Armenia,"Sirak, Armenia",Shirak Province,40.9630814,43.8102461,ChIJKQxCIkAIakARzAAVz3IBwE4
AM,Syunik',AM-SU,Armenia,"Syunik', Armenia",Syunik Province,39.2028881,46.4798169,ChIJBycSig89FkARRwsD71m8uzQ
AM,Tavus,AM-TV,Armenia,"Tavus, Armenia",Tavush Province,40.8866296,45.339349,ChIJI79HxcesQUARIv3KOpnZKWA
AM,Vayoc Jor,AM-VD,Armenia,"Vayoc Jor, Armenia",Vayots Dzor Province,39.7641996,45.3337528,ChIJQeqqdg57FUARU6j2Nb77nrM
AO,Bengo,AO-BGO,Angola,"Bengo, Angola",Bengo Province,-9.1042257,13.7289167,ChIJ-cW4PAsjThoR0_l5o9P8eBQ
AO,Benguela,AO-BGU,Angola,"Benguela, Angola",Benguela Province,-12.5905158,13.416501,ChIJMxDN3grRrxsRFqYwLojPYp8
AO,Bie,AO-BIE,Angola,"Bie, Angola",Bié Province,-12.5727907,17.668887,ChIJ-_veeaIEyhsRH-psN2W1wZI
AO,Cabinda,AO-CAB,Angola,"Cabinda, Angola",Cabinda Province,-5.0248749,12.3463875,ChIJPeaDEPOMXRoRm9uiXm3sbCM
AO,Cunene,AO-CNN,Angola,"Cunene, Angola",Cunene Province,-16.2802221,16.1580937,ChIJg1JOSR8zlhsRRqMFqDgGBb8
AO,Huambo,AO-HUA,Angola,"Huambo, Angola",Huambo Province,-12.7739761,15.7468535,ChIJ29_227R1txsR25w50SKIp0M
AO,Huila,AO-HUI,Angola,"Huila, Angola",Huila Province,-14.9280553,14.6587821,ChIJ8e-6cINLoxsRDBPEVCG2svQ
AO,Kuando Kubango,AO-CCU,Angola,"Kuando Kubango, Angola",Cuando Cubango Province,-16.4180824,18.8076195,ChIJ8Zwt1k_QwRsRf7426eJMRfM
AO,Kwanza Norte,AO-CNO,Angola,"Kwanza Norte, Angola",Cuanza Norte Province,-9.2398513,14.6587821,ChIJgVAfSXcgSRoR1HpLfduIyGI
AO,Kwanza Sul,AO-CUS,Angola,"Kwanza Sul, Angola",Cuanza Sul Province,-10.595191,15.4068079,ChIJm13pGRGXshsRwiRyhDUK97Q
AO,Luanda,AO-LUA,Angola,"Luanda, Angola",Luanda Province,-8.8146556,13.2301756,ChIJfSyN3FzxURoRklrMXlwcDIU
AO,Lunda Norte,AO-LNO,Angola,"Lunda Norte, Angola",Lunda Norte Province,-8.3525022,19.1880047,ChIJEVp3X2_EKBoRpjYihiADm30
AO,Lunda Sul,AO-LSU,Angola,"Lunda Sul, Angola",Lunda Sul Province,-10.2866578,20.7122465,ChIJgQrmpNIa0hsRkYalgfMSrn4
AO,Malange,AO-MAL,Angola,"Malange, Angola",Malanje Province,-9.5418224,16.3346061,ChIJ80_vELWHShoRtZzxhWMFJuA
AO,Moxico,AO-MOX,Angola,"Moxico, Angola",Moxico Province,-13.4293579,20.3308814,ChIJ34rbBqR2fRkRrc4iU_Sr0d0
AO,Namibe,AO-NAM,Angola,"Namibe, Angola",Namibe Province,-15.1978317,12.1575544,ChIJzb4X-1vZoxsRre5AskmJ2bM
AO,Uige,AO-UIG,Angola,"Uige, Angola",Uíge Province,-7.1736732,15.4068079,ChIJ11tSpTAjRBoRla0xexL2jd4
AO,Zaire,AO-ZAI,Angola,"Zaire, Angola",Zaire Province,-6.5733458,13.1740348,ChIJExVtT5QPXBoRVylQ7iNKnRo
AR,Buenos Aires,AR-B,Argentina,"Buenos Aires, Argentina",Buenos Aires,-34.6036844,-58.3815591,ChIJvQz5TjvKvJURh47oiC6Bs6A
AR,Catamarca,AR-K,Argentina,"Catamarca, Argentina",Catamarca Province,-28.469581,-65.7795441,ChIJzZ8PHb8oJJQRGoYJFkvdHn4
AR,Chaco,AR-H,Argentina,"Chaco, Argentina",Chaco Province,-27.4257175,-59.0243784,ChIJR3LI4_rvQJQRleyel8CWr04
AR,Chubut,AR-U,Argentina,"Chubut, Argentina",Chubut Province,-43.2934246,-65.1114818,ChIJR3BXosaj4r0RKKImS45F1No
AR,Ciudad Autonoma de Buenos Aires,AR-C,Argentina,"Ciudad Autonoma de Buenos Aires, Argentina",Buenos Aires,-34.6036844,-58.3815591,ChIJvQz5TjvKvJURh47oiC6Bs6A
AR,Cordoba,AR-X,Argentina,"Cordoba, Argentina",Cordoba,-31.4200833,-64.1887761,ChIJaVuPR1-YMpQRkrBmU5pPorA
AR,Corrientes,AR-W,Argentina,"Corrientes, Argentina",Corrientes,-27.4692131,-58.8306349,ChIJa9O-1XlrRZQRRga08x6fmfo
AR,Entre Rios,AR-E,Argentina,"Entre Rios, Argentina",Entre Rios,-31.7746654,-60.4956461,ChIJvy9Iut1RpZURgmPU3PBLKGk
AR,Formosa,AR-P,Argentina,"Formosa, Argentina",Formosa Province,-26.1857768,-58.1755669,ChIJBU_PiOSlXJQRcq4bWubrygs
AR,Jujuy,AR-Y,Argentina,"Jujuy, Argentina",Jujuy,-24.1857864,-65.2994767,ChIJL6bXi04PG5QRmeT2V-BQUTE
AR,La Pampa,AR-L,Argentina,"La Pampa, Argentina",La Pampa,-36.6147573,-64.2839209,ChIJ6TZppA1t3JURyFjyX753Fqw
AR,La Rioja,AR-F,Argentina,"La Rioja, Argentina",La Rioja Province,-29.4134538,-66.8564579,ChIJ5feWM4fZJ5QRysdyiTScHD4
AR,Mendoza,AR-M,Argentina,"Mendoza, Argentina",Mendoza Province,-32.8894587,-68.8458386,ChIJv3lRxD4JfpYROvoO0vZ4WiA
AR,Misiones,AR-N,Argentina,"Misiones, Argentina",Misiones Province,-27.4269255,-55.9467076,ChIJM-NMXSQR-JQRHVqx6381Xfs
AR,Neuquen,AR-Q,Argentina,"Neuquen, Argentina",Neuquen,-38.9516784,-68.0591888,ChIJNY7rNbozCpYR9eLjELisIGI
AR,Rio Negro,AR-R,Argentina,"Rio Negro, Argentina",Río Negro,-40.8261434,-63.0266339,ChIJC1OmsMSC4pUR266wM__G38I
AR,Salta,AR-A,Argentina,"Salta, Argentina",Salta Province,-24.7821269,-65.4231976,ChIJ-bdRUaPDG5QRBvKH1SyZzaU
AR,San Juan,AR-J,Argentina,"San Juan, Argentina",San Juan Province,-31.5351074,-68.5385941,ChIJl9Q8oylAgZYRs_w8I6Cj878
AR,San Luis,AR-D,Argentina,"San Luis, Argentina",San Luis Province,-33.3017267,-66.3377522,ChIJzaZsGVQ51JURg8ye1LTjwn8
AR,Santa Cruz,AR-Z,Argentina,"Santa Cruz, Argentina",Santa Cruz Province,-51.6352821,-69.2474353,ChIJX1N_w_37tr0RfCPI_XcNueQ
AR,Santa Fe,AR-S,Argentina,"Santa Fe, Argentina",Santa Fe Province,-31.6106578,-60.697294,ChIJ4YgIxK2ptZURSoACjR5299w
AR,Santiago del Estero,AR-G,Argentina,"Santiago del Estero, Argentina",Santiago del Estero Province,-27.7833574,-64.264167,ChIJa_kz32pSO5QR1shkd-0YnZo
AR,Tierra del Fuego,AR-V,Argentina,"Tierra del Fuego, Argentina",Tierra del Fuego Province,-54.8053998,-68.3242061,ChIJISlD2c8iTLwRjdjwjDVU7oA
AR,Tucuman,AR-T,Argentina,"Tucuman, Argentina",Tucumán,-26.8221127,-65.2192903,ChIJWUwJqOlFIpQR_QxdHCqFwuk
AS,Eastern District,-,American Samoa,"Eastern District, American Samoa",Eastern District,-14.2762232,-170.6437906,ChIJDRBuX1eFpnER0uOcM-bDOx4
AS,Western District,-,American Samoa,"Western District, American Samoa",Western District,-14.3274853,-170.7768613,ChIJqwNnTASdpnERYs53qhJn3eI
AT,Burgenland,AT-1,Austria,"Burgenland, Austria",Burgenland,47.1537165,16.2688797,ChIJ8dxKDsMgbEcR-ug-uLdLQpg
AT,Karnten,AT-2,Austria,"Karnten, Austria",Carinthia,46.722203,14.1805882,ChIJF_WJpph0cEcRP8merT25Wtk
AT,Niederosterreich,AT-3,Austria,"Niederosterreich, Austria",Lower Austria,48.108077,15.8049558,ChIJ8S5gEt2BbUcR3C5ibAmuoVU
AT,Oberosterreich,AT-4,Austria,"Oberosterreich, Austria",Upper Austria,48.025854,13.9723665,ChIJYQObWYWXc0cRiJXDA3yBSHw
AT,Salzburg,AT-5,Austria,"Salzburg, Austria",Salzburg,47.80949,13.05501,ChIJsdQIqd2adkcRPfcqQaGD4cE
AT,Steiermark,AT-6,Austria,"Steiermark, Austria",Styria,47.3593442,14.4699827,ChIJUQItuHg1bkcRNH0i-37kBdA
AT,Tirol,AT-7,Austria,"Tirol, Austria",Tyrol,47.2537414,11.601487,ChIJvZXdim96d0cRT6aEn0VVfs0
AT,Vorarlberg,AT-8,Austria,"Vorarlberg, Austria",Vorarlberg,47.2497427,9.9797373,ChIJRQmqIqESm0cRTZpV9Z8FT4Q
AT,Wien,AT-9,Austria,"Wien, Austria",Vienna,48.2081743,16.3738189,ChIJn8o2UZ4HbUcRRluiUYrlwv0
AU,Australian Capital Territory,AU-ACT,Australia,"Australian Capital Territory, Australia",Australian Capital Territory,-35.4734679,149.0123679,ChIJSxCboN9MFmsRA3huXDhEWOc
AU,New South Wales,AU-NSW,Australia,"New South Wales, Australia",New South Wales,-31.2532183,146.921099,ChIJDUte93TLDWsRLZ_EIhGvgBc
AU,Northern Territory,AU-NT,Australia,"Northern Territory, Australia",Northern Territory,-19.4914108,132.5509603,ChIJDxnz5sJyUSsRdScAAAAAAAA
AU,Queensland,AU-QLD,Australia,"Queensland, Australia",Queensland,-20.9175738,142.7027956,ChIJ_dxieiTf1GsRmb4SdiLQ8vU
AU,South Australia,AU-SA,Australia,"South Australia, Australia",South Australia,-30.0002315,136.2091547,ChIJ88foW55Yp2oR2ND6PZl5fts
AU,Tasmania,AU-TAS,Australia,"Tasmania, Australia",Tasmania,-41.4545196,145.9706647,ChIJz_o0fifteqoRZEBAKd2ljyo
AU,Victoria,AU-VIC,Australia,"Victoria, Australia",Victoria,-37.4713077,144.7851531,ChIJT5UYfksx1GoRNJWCvuL8Tlo
AU,Western Australia,AU-WA,Australia,"Western Australia, Australia",Western Australia,-27.6728168,121.6283098,ChIJ0YTziS4qOSoRmaMAMt9KDm4
AX,Eckeroe,-,Åland Islands,"Eckeroe, Åland Islands",Countryside,60.2231622,19.5595375,ChIJPeafcaS9ikYRSQpPoKgcgdA
AX,Finstroem,-,Åland Islands,"Finstroem, Åland Islands",Countryside,60.2299128,19.9880632,ChIJV-Yz8C7qikYR8VFy16ViKPc
AX,Hammarland,-,Åland Islands,"Hammarland, Åland Islands",Countryside,60.216399,19.7402399,ChIJX7wiB9K_ikYRTc_U5K1m2VE
AX,Jomala,-,Åland Islands,"Jomala, Åland Islands",Countryside,60.1522174,19.9486168,ChIJTfNg9SvCikYRWrNkd83bjOI
AX,Mariehamn,-,Åland Islands,"Mariehamn, Åland Islands",Mariehamn sub-region,60.0970945,19.9348339,ChIJ7TXGu5vDikYRzZqPbAILQkY
AX,Saltvik,-,Åland Islands,"Saltvik, Åland Islands",Countryside,60.2755254,20.0619188,ChIJSUqZtoXuikYRUMnNjIbRLRI
AX,Sund,-,Åland Islands,"Sund, Åland Islands",Countryside,60.2380943,20.1414378,ChIJZxyRtr7oikYREzpW1muJoL4
AZ,Abseron,AZ-ABS,Azerbaijan,"Abseron, Azerbaijan",Absheron,40.3629693,49.2736815,ChIJAQwrDLr7OkAR9zA6FpMZoKc
AZ,Agcabadi,AZ-AGC,Azerbaijan,"Agcabadi, Azerbaijan",Agjabadi,40.0529597,47.4553529,ChIJ--2uE4OoPkARWEh2fILMlzU
AZ,Agstafa,AZ-AGA,Azerbaijan,"Agstafa, Azerbaijan",Agstafa,41.1124969,45.447689,ChIJ-XtROisvQUARHXA2G8YATDY
AZ,Agsu,AZ-AGU,Azerbaijan,"Agsu, Azerbaijan",Agsu,40.5742298,48.3896404,ChIJLTXejOWPOUAR7YKffyLXFbs
AZ,Baki,AZ-BA,Azerbaijan,"Baki, Azerbaijan",Baku,40.4092617,49.8670924,ChIJ-Rwh1mt9MEARa2zlel5rPzQ
AZ,Balakan,AZ-BAL,Azerbaijan,"Balakan, Azerbaijan",Balakan,41.7037509,46.4044213,ChIJVYT_qiZERkARR6tdS-qiOIE
