Active,Admin2,Confirmed,Country_Region,Date,Deaths,FIPS,Lat,Long_,Province_State,Recovered
9,Abbeville,9,US,2020-04-12,0,45001,34.22333378,-82.46170658,South Carolina,0
94,Acadia,99,US,2020-04-12,5,22001,30.295064899999996,-92.41419698,Louisiana,0
15,Accomack,15,US,2020-04-12,0,51001,37.76707161,-75.63234615,Virginia,0
511,Ada,517,US,2020-04-12,6,16001,43.4526575,-116.24155159999998,Idaho,0
1,Adair,1,US,2020-04-12,0,19001,41.33075609,-94.47105874,Iowa,0
11,Adair,11,US,2020-04-12,0,21001,37.10459774,-85.28129668,Kentucky,0
11,Adair,11,US,2020-04-12,0,29001,40.19058551,-92.60078167,Missouri,0
25,Adair,27,US,2020-04-12,2,40001,35.88494195,-94.65859267,Oklahoma,0
621,Adams,647,US,2020-04-12,26,8001,39.87432092,-104.3362578,Colorado,0
1,Adams,1,US,2020-04-12,0,16003,44.89333571,-116.4545247,Idaho,0
25,Adams,25,US,2020-04-12,0,17001,39.98815591,-91.18786813,Illinois,0
4,Adams,5,US,2020-04-12,1,18001,40.7457653,-84.93671406,Indiana,0
50,Adams,51,US,2020-04-12,1,28001,31.47669768,-91.35326037,Mississippi,0
54,Adams,54,US,2020-04-12,0,31001,40.52449420000001,-98.50117804,Nebraska,0
3,Adams,3,US,2020-04-12,0,39001,38.84541072,-83.4718964,Ohio,0
47,Adams,48,US,2020-04-12,1,42001,39.87140411,-77.21610347,Pennsylvania,0
36,Adams,36,US,2020-04-12,0,53001,46.98299757,-118.56017340000001,Washington,0
2,Adams,2,US,2020-04-12,0,55001,43.96974651,-89.76782777,Wisconsin,0
54,Addison,55,US,2020-04-12,1,50001,44.03217337,-73.14130877,Vermont,0
49,Aiken,50,US,2020-04-12,1,45003,33.54338026,-81.63645384,South Carolina,0
215,Alachua,215,US,2020-04-12,0,12001,29.67866525,-82.35928158,Florida,0
36,Alamance,36,US,2020-04-12,0,37001,36.0434701,-79.39976137,North Carolina,0
822,Alameda,845,US,2020-04-12,23,6001,37.64629437,-121.8929271,California,0
5,Alamosa,7,US,2020-04-12,2,8003,37.57250606,-105.7885451,Colorado,0
466,Albany,478,US,2020-04-12,12,36001,42.60060306,-73.97723916,New York,0
5,Albany,5,US,2020-04-12,0,56001,41.65498705,-105.72354150000001,Wyoming,0
46,Albemarle,46,US,2020-04-12,0,51003,38.02080697,-78.55481085,Virginia,0
7,Alcorn,7,US,2020-04-12,0,28003,34.88084463,-88.57996173,Mississippi,0
2,Alexander,2,US,2020-04-12,0,37003,35.922379600000006,-81.17751948,North Carolina,0
197,Alexandria,198,US,2020-04-12,1,51510,38.814003,-77.08183073,Virginia,0
20,Allamakee,21,US,2020-04-12,1,19005,43.28383218,-91.37860922,Iowa,0
21,Allegan,21,US,2020-04-12,0,26005,42.59147037,-85.89102866,Michigan,0
13,Allegany,13,US,2020-04-12,0,24001,39.62357628,-78.69280486,Maryland,0
25,Allegany,26,US,2020-04-12,1,36003,42.25748406,-78.02750466,New York,0
2,Alleghany,2,US,2020-04-12,0,37005,36.49360862,-81.12857041,North Carolina,0
4,Alleghany,4,US,2020-04-12,0,51005,37.78636074,-80.00222498,Virginia,0
838,Allegheny,857,US,2020-04-12,19,42003,40.46809875,-79.98167747,Pennsylvania,0
137,Allen,147,US,2020-04-12,10,18003,41.09194313,-85.06800636,Indiana,0
4,Allen,4,US,2020-04-12,0,21003,36.75197631,-86.19457544,Kentucky,0
66,Allen,73,US,2020-04-12,7,22003,30.65385745,-92.82442028,Louisiana,0
31,Allen,33,US,2020-04-12,2,39003,40.77285242,-84.10802343,Ohio,0
5,Allendale,5,US,2020-04-12,0,45005,32.98837386,-81.35321066,South Carolina,0
1,Alpena,1,US,2020-04-12,0,26007,45.03477666,-83.62212411,Michigan,0
2,Alpine,2,US,2020-04-12,0,6003,38.59678594,-119.82235940000001,California,0
7,Amador,7,US,2020-04-12,0,6005,38.44583082,-120.65696000000001,California,0
9,Amelia,9,US,2020-04-12,0,51007,37.34081025,-77.98584649,Virginia,0
10,Amherst,10,US,2020-04-12,0,51009,37.60308293,-79.14548696,Virginia,0
11,Amite,12,US,2020-04-12,1,28005,31.17467303,-90.80501621,Mississippi,0
123,Anchorage,127,US,2020-04-12,4,2020,61.14998174,-149.14269860000002,Alaska,0
1,Anderson,1,US,2020-04-12,0,20003,38.21413251,-95.29272815,Kansas,0
2,Anderson,3,US,2020-04-12,1,21005,38.00671029,-84.99171713,Kentucky,0
101,Anderson,106,US,2020-04-12,5,45007,34.51828081,-82.63959517,South Carolina,0
11,Anderson,12,US,2020-04-12,1,47001,36.12684348,-84.19965764,Tennessee,0
3,Anderson,3,US,2020-04-12,0,48001,31.81534745,-95.65354823,Texas,0
1,Andrew,1,US,2020-04-12,0,29003,39.98492163,-94.80163024,Missouri,0
12,Andrews,12,US,2020-04-12,0,48003,32.30468633,-102.63765479999999,Texas,0
28,Androscoggin,28,US,2020-04-12,0,23001,44.1664747,-70.20380627,Maine,0
16,Angelina,16,US,2020-04-12,0,48005,31.25457347,-94.60901487,Texas,0
632,Anne Arundel,659,US,2020-04-12,27,24003,39.00670238,-76.60329337,Maryland,0
68,Anoka,68,US,2020-04-12,0,27003,45.27476015,-93.24604565,Minnesota,0
10,Anson,10,US,2020-04-12,0,37007,34.97403241,-80.09953279,North Carolina,0
1,Antelope,1,US,2020-04-12,0,31003,42.17695516,-98.06662829999999,Nebraska,0
8,Antrim,8,US,2020-04-12,0,26009,44.99690221,-85.15503082,Michigan,0
72,Apache,72,US,2020-04-12,0,4001,35.39465006,-109.4892383,Arizona,0
0,Appanoose,1,US,2020-04-12,1,19007,40.74324454,-92.86865906,Iowa,0
9,Appling,9,US,2020-04-12,0,13001,31.74847232,-82.28909114,Georgia,0
7,Appomattox,7,US,2020-04-12,0,51011,37.37569884,-78.81340003,Virginia,0
2,Aransas,2,US,2020-04-12,0,48007,28.10556197,-96.9995047,Texas,0
1045,Arapahoe,1083,US,2020-04-12,38,8005,39.64977461,-104.3353617,Colorado,0
6,Archuleta,6,US,2020-04-12,0,8007,37.19474156,-107.04768670000001,Colorado,0
5,Arenac,5,US,2020-04-12,0,26011,44.0636262,-83.89277559,Michigan,0
2,Arkansas,2,US,2020-04-12,0,5001,34.29145151,-91.37277296,Arkansas,0
364,Arlington,366,US,2020-04-12,2,51013,38.8767675,-77.10139853,Virginia,0
26,Armstrong,27,US,2020-04-12,1,42005,40.81665618,-79.46290811,Pennsylvania,0
2,Aroostook,2,US,2020-04-12,0,23003,46.65926321,-68.59841248,Maine,0
405,Ascension,428,US,2020-04-12,23,22005,30.20406249,-90.91328409999998,Louisiana,0
4,Ashe,4,US,2020-04-12,0,37009,36.43296207,-81.49862729,North Carolina,0
5,Ashland,5,US,2020-04-12,0,39005,40.84772277,-82.27280781,Ohio,0
2,Ashland,2,US,2020-04-12,0,55003,46.31956891,-90.67837132,Wisconsin,0
10,Ashley,10,US,2020-04-12,0,5003,33.19153461,-91.76984709999999,Arkansas,0
24,Ashtabula,26,US,2020-04-12,2,39007,41.70860332,-80.74830218,Ohio,0
5,Asotin,5,US,2020-04-12,0,53003,46.18894415,-117.2022851,Washington,0
115,Assumption,116,US,2020-04-12,1,22007,29.89946234,-91.06461642,Louisiana,0
9,Atascosa,9,US,2020-04-12,0,48013,28.89333001,-98.52730485,Texas,0
3,Atchison,3,US,2020-04-12,0,20005,39.53185661,-95.30870026,Kansas,0
1,Atchison,1,US,2020-04-12,0,29005,40.43238737,-95.42970639,Missouri,0
2,Athens,3,US,2020-04-12,1,39009,39.33425634,-82.04278644,Ohio,0
2,Atkinson,2,US,2020-04-12,0,13003,31.29633502,-82.87545866,Georgia,0
245,Atlantic,253,US,2020-04-12,8,34001,39.47538693,-74.65848483,New Jersey,0
1,Atoka,1,US,2020-04-12,0,40005,34.37366573,-96.03802487,Oklahoma,0
20,Attala,20,US,2020-04-12,0,28007,33.08658803,-89.57838564,Mississippi,0
1,Audubon,1,US,2020-04-12,0,19009,41.6844628,-94.90581859,Iowa,0
13,Auglaize,14,US,2020-04-12,1,39011,40.55998859,-84.22421429999999,Ohio,0
17,Augusta,17,US,2020-04-12,0,51015,38.16404586,-79.12461614,Virginia,0
1,Aurora,1,US,2020-04-12,0,46003,43.71757685,-98.56050467,South Dakota,0
10,Austin,10,US,2020-04-12,0,48015,29.88548725,-96.27736949,Texas,0
18,Autauga,19,US,2020-04-12,1,1001,32.53952745,-86.64408227,Alabama,0
60,Avoyelles,61,US,2020-04-12,1,22009,31.07796211,-92.00079449,Louisiana,0
10,Baca,10,US,2020-04-12,0,8009,37.31940883,-102.5603223,Colorado,0
14,Bacon,14,US,2020-04-12,0,13005,31.55456473,-82.45936528,Georgia,0
15,Baker,17,US,2020-04-12,2,12003,30.33060121,-82.28467476,Florida,0
12,Baker,14,US,2020-04-12,2,13007,31.32669878,-84.44218806,Georgia,0
70,Baldwin,71,US,2020-04-12,1,1003,30.72774991,-87.72207058,Alabama,0
51,Baldwin,52,US,2020-04-12,1,13009,33.06882326,-83.24701748,Georgia,0
1,Ballard,1,US,2020-04-12,0,21007,37.05842757,-88.99427697,Kentucky,0
1227,Baltimore,1257,US,2020-04-12,30,24005,39.45784712,-76.62911955,Maryland,0
788,Baltimore City,812,US,2020-04-12,24,24510,39.30211911,-76.61151012,Maryland,0
7,Bamberg,7,US,2020-04-12,0,45009,33.21927586,-81.05659969,South Carolina,0
2,Bandera,2,US,2020-04-12,0,48019,29.74619598,-99.24598147,Texas,0
7,Banks,7,US,2020-04-12,0,13011,34.35607081,-83.49644388,Georgia,0
5,Bannock,5,US,2020-04-12,0,16005,42.67002716,-112.2233311,Idaho,0
1,Barber,1,US,2020-04-12,0,20007,37.2288586,-98.68460053,Kansas,0
10,Barbour,10,US,2020-04-12,0,1005,31.868263,-85.3871286,Alabama,0
4,Barbour,4,US,2020-04-12,0,54001,39.1307219,-80.00350858,West Virginia,0
2,Barnes,2,US,2020-04-12,0,38003,46.93579637,-98.06605978,North Dakota,0
485,Barnstable,501,US,2020-04-12,16,25001,41.72980578,-70.28854339,Massachusetts,0
5,Barnwell,5,US,2020-04-12,0,45011,33.26679302,-81.43584352,South Carolina,0
5,Barren,5,US,2020-04-12,0,21009,36.96469836,-85.93338945,Kentucky,0
6,Barron,6,US,2020-04-12,0,55005,45.42372701,-91.84833627,Wisconsin,0
52,Barrow,55,US,2020-04-12,3,13013,33.99148694,-83.71436292,Georgia,0
8,Barry,8,US,2020-04-12,0,26015,42.59513984,-85.30834519,Michigan,0
2,Barry,2,US,2020-04-12,0,29009,36.70978521,-93.82919888,Missouri,0
106,Bartholomew,110,US,2020-04-12,4,18005,39.20744865,-85.89558181,Indiana,0
4,Barton,4,US,2020-04-12,0,20009,38.47889676,-98.75636726,Kansas,0
197,Bartow,212,US,2020-04-12,15,13015,34.23732119,-84.83887523,Georgia,0
25,Bastrop,26,US,2020-04-12,1,48021,30.10370699,-97.31206354,Texas,0
6,Bates,6,US,2020-04-12,0,29013,38.25271289,-94.34113157,Missouri,0
2,Bath,2,US,2020-04-12,0,21011,38.14735938,-83.74588932,Kentucky,0
0,Bath,0,US,2020-04-12,0,51017,38.05852573,-79.73912095,Virginia,0
4,Baxter,4,US,2020-04-12,0,5005,36.28784385,-92.33782872,Arkansas,0
36,Bay,37,US,2020-04-12,1,12005,30.26548745,-85.62122584,Florida,0
52,Bay,54,US,2020-04-12,2,26017,43.70639106,-83.98731479,Michigan,0
3,Bayfield,3,US,2020-04-12,0,55007,46.52868768,-91.19716729,Wisconsin,0
19,Beadle,21,US,2020-04-12,2,46005,44.41464384,-98.27858469,South Dakota,0
13,Beaufort,13,US,2020-04-12,0,37013,35.48531943,-76.84325809,North Carolina,0
188,Beaufort,194,US,2020-04-12,6,45013,32.39226291,-80.72619758,South Carolina,0
