Active,Admin2,Confirmed,Country_Region,Date,Deaths,FIPS,Lat,Long_,Recovered,﻿Province/State
,,5,New Zealand,2020-03-13,0,,-40.9006,174.886,0,
,,27,Belarus,2020-03-13,0,,53.7098,27.9534,3,
,,15,Azerbaijan,2020-03-13,1,,40.1431,47.5769,3,
,,8,Armenia,2020-03-13,0,,40.0691,45.0382,0,
,,4,Kazakhstan,2020-03-13,0,,48.0196,66.9237,0,
,,11364,Iran,2020-03-13,514,,32.4279,53.688,2959,
,,161,Israel,2020-03-13,0,,31.0461,34.8516,4,
,,3,France,2020-03-13,0,,-17.6797,149.4068,0,French Polynesia
,,14,Australia,2020-03-13,1,,-31.9505,115.8605,0,Western Australia
,,1,Cayman Islands,2020-03-13,0,,19.3133,-81.2546,0,
,,701,Japan,2020-03-13,19,,36.2048,138.2529,118,
,,141,Czechia,2020-03-13,0,,49.8175,15.473,0,
,,320,Qatar,2020-03-13,0,,25.3548,51.1839,0,
,,200,Singapore,2020-03-13,0,,1.3521,103.8198,97,
,,1,Guadeloupe,2020-03-13,0,,16.265,-61.551,0,
,,5,Dominican Republic,2020-03-13,0,,18.7357,-70.1627,0,
,,80,Egypt,2020-03-13,2,,26.8206,30.8025,27,
,,3,Bolivia,2020-03-13,0,,-16.2902,-63.5887,0,
,,4,Canada,2020-03-13,0,,53.7609,-98.8139,0,Manitoba
,,2,Canada,2020-03-13,0,,52.9399,-106.4509,0,Saskatchewan
,,69,Indonesia,2020-03-13,4,,-0.7893,113.9213,2,
,,7979,"Korea, South",2020-03-13,66,,35.9078,127.7669,510,
,,17,Latvia,2020-03-13,0,,56.8796,24.6032,1,
,,10,Senegal,2020-03-13,0,,14.4974,-14.4524,1,
,,1,Ethiopia,2020-03-13,0,,9.145,40.4897,0,
,,1,Sudan,2020-03-13,1,,12.8628,30.2176,0,
,,112,Portugal,2020-03-13,0,,39.3999,-8.2245,1,
,,1,Andorra,2020-03-13,0,,42.5063,1.5218,0,
,,1,Guinea,2020-03-13,0,,9.9456,-9.6966,0,
,,1,Antigua and Barbuda,2020-03-13,0,,17.0608,-61.7964,0,
,,559,Belgium,2020-03-13,3,,50.5039,4.4699,1,
,,45,Russia,2020-03-13,0,,61.524,105.3188,3,
,,82,India,2020-03-13,2,,20.5937,78.9629,4,
,,7,Morocco,2020-03-13,1,,31.7917,-7.0926,1,
,,2,Aruba,2020-03-13,0,,12.5211,-69.9683,0,
,,2,Canada,2020-03-13,0,,37.6489,-122.6655,0,Grand Princess
,,31,Argentina,2020-03-13,2,,-38.4161,-63.6167,0,
,,43,Chile,2020-03-13,0,,-35.6751,-71.543,0,
,,1,Jordan,2020-03-13,0,,31.24,36.51,1,
,,1,Kenya,2020-03-13,0,,-0.0236,37.9062,0,
,,1,France,2020-03-13,0,,17.9,-62.8333,0,Saint Barthelemy
,,2,France,2020-03-13,0,,18.0708,-63.0501,0,St Martin
,,68,Poland,2020-03-13,2,,51.9194,19.1451,0,
,,3,Denmark,2020-03-13,0,,61.8926,-6.9118,0,Faroe Islands
,,1,United Kingdom,2020-03-13,0,,36.1408,-5.3536,1,Gibraltar
,,19,Hungary,2020-03-13,0,,47.1625,19.5033,0,
